level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1950	1464	-1	
2	1	1	0	0	0	531	258	129	19	-1	
3	1	1	1	0	0	531	258	129	19	-1	
4	1	1	1	1	0	531	258	129	19	-1	
5	1	1	1	1	1	531	258	129	19	95.382553	BEDROOM
2	1	2	0	0	0	1328	265	130	20	-1	
3	1	2	1	0	0	1328	265	130	20	-1	
4	1	2	1	1	0	1328	265	130	20	-1	
5	1	2	1	1	1	1328	265	130	20	96.574066	BEDROOM
2	1	3	0	0	0	516	287	148	19	-1	
3	1	3	1	0	0	516	287	148	19	-1	
4	1	3	1	1	0	516	287	148	19	-1	
5	1	3	1	1	1	516	287	148	19	55.659782	10'1"x11'l
2	1	4	0	0	0	1314	294	158	20	-1	
3	1	4	1	0	0	1314	294	158	20	-1	
4	1	4	1	1	0	1314	294	158	20	-1	
5	1	4	1	1	1	1314	295	59	19	74.728264	11'1*
5	1	4	1	1	2	1389	301	9	11	86.783035	x
5	1	4	1	1	3	1413	294	59	20	85.970123	13'6"
2	1	5	0	0	0	538	585	112	19	-1	
3	1	5	1	0	0	538	585	112	19	-1	
4	1	5	1	1	0	538	585	112	19	-1	
5	1	5	1	1	1	538	585	112	19	96.814682	TERRACE
2	1	6	0	0	0	560	741	49	26	-1	
3	1	6	1	0	0	560	741	49	26	-1	
4	1	6	1	1	0	560	741	49	26	-1	
5	1	6	1	1	1	560	742	7	19	12.056808	7
5	1	6	1	1	2	595	741	14	26	12.973877	i
2	1	7	0	0	0	525	765	75	64	-1	
3	1	7	1	0	0	525	765	75	64	-1	
4	1	7	1	1	0	525	765	75	64	-1	
5	1	7	1	1	1	525	765	75	64	5.417114	HT]
2	1	8	0	0	0	1257	820	170	20	-1	
3	1	8	1	0	0	1257	820	170	20	-1	
4	1	8	1	1	0	1257	820	170	20	-1	
5	1	8	1	1	1	1257	820	82	20	96.321457	LIVING
5	1	8	1	1	2	1351	820	76	20	96.509651	ROOM
2	1	9	0	0	0	1263	850	158	19	-1	
3	1	9	1	0	0	1263	850	158	19	-1	
4	1	9	1	1	0	1263	850	158	19	-1	
5	1	9	1	1	1	1263	850	59	19	38.113449	11'7*
5	1	9	1	1	2	1338	856	9	11	84.179169	x
5	1	9	1	1	3	1362	850	59	19	72.092583	15'7"
2	1	10	0	0	0	559	918	107	19	-1	
3	1	10	1	0	0	559	918	107	19	-1	
4	1	10	1	1	0	559	918	107	19	-1	
5	1	10	1	1	1	559	918	107	19	96.231834	KITCHEN
2	1	11	0	0	0	963	921	79	19	-1	
3	1	11	1	0	0	963	921	79	19	-1	
4	1	11	1	1	0	963	921	79	19	-1	
5	1	11	1	1	1	963	921	79	19	96.140678	FOYER
2	1	12	0	0	0	409	955	56	21	-1	
3	1	12	1	0	0	409	955	56	21	-1	
4	1	12	1	1	0	409	955	56	21	-1	
5	1	12	1	1	1	409	955	56	21	41.279606	eke)
2	1	13	0	0	0	533	948	160	19	-1	
3	1	13	1	0	0	533	948	160	19	-1	
4	1	13	1	1	0	533	948	160	19	-1	
5	1	13	1	1	1	533	948	60	19	33.464592	10°1"
5	1	13	1	1	2	607	954	10	12	92.895500	x
5	1	13	1	1	3	632	948	61	19	28.713165	10'8"
2	1	14	0	0	0	928	951	134	19	-1	
3	1	14	1	0	0	928	951	134	19	-1	
4	1	14	1	1	0	928	951	134	19	-1	
5	1	14	1	1	1	928	951	46	18	87.033081	8'8"
5	1	14	1	1	2	989	957	10	11	88.698067	x
5	1	14	1	1	3	1014	951	48	19	81.893326	18'1
2	1	15	0	0	0	409	989	56	22	-1	
3	1	15	1	0	0	409	989	56	22	-1	
4	1	15	1	1	0	409	989	56	22	-1	
5	1	15	1	1	1	409	989	56	22	38.735069	eke)
2	1	16	0	0	0	1144	1157	21	21	-1	
3	1	16	1	0	0	1144	1157	21	21	-1	
4	1	16	1	1	0	1144	1157	21	21	-1	
5	1	16	1	1	1	1144	1157	21	21	62.374729	x
